ID;ID_LANG;Active (0/1);Name;Default Category;Price tax excl.;Tax rules ID;Wholesale price;On sale (0/1);Reference #;Quantity;Short description;Description;Meta-title;Meta-keywords;Meta-description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order;Product creation date;Show price;Available online only;Condition;url_image;
"18";"1";"1";"Guantes de cuero";"35";"8394.957983";"53";"0.000000";"0";"GM";"0";"";"";"";"";"";"guantes-de-cuero";"";"";"1";"2014-03-10 22:38:38";"1";"0";"new";"http://pesaschile.cl/2/img/p/1/1/2/7/1127-thickbox_default.jpg";
"18";"1";"1";"Guantes de cuero";"35";"8394.957983";"53";"0.000000";"0";"GM";"0";"";"";"";"";"";"guantes-de-cuero";"";"";"1";"2014-03-10 22:38:38";"1";"0";"new";"http://pesaschile.cl/2/img/p/1/1/2/8/1128-thickbox_default.jpg";
"18";"3";"1";"Guantes de Entrenamiento";"35";"8394.957983";"53";"0.000000";"0";"GM";"0";"Si eres de los que les gusta m&aacute;s el gimnasio y el acondicionamiento f&iacute;sico en general y quieres cuidar tus manos de las rompeduras que provocan ciertos implementos, estos Guantes Promachine, te proporcionar&aacute;n el cuidado necesario que necesitas para tus manos al momento de entrenar d&aacute;ndote m&aacute;s firmeza y agarre del mismo implemento sin da&ntilde;ar tus manos.";" Material: Poliuretano. Mu&ntilde;equeras con velcro. Malla anti transpiraci&oacute;n.
";"";"";"";"guantes-de-cuero";"";"";"1";"2014-03-10 22:38:38";"1";"0";"new";"http://pesaschile.cl/2/img/p/1/1/2/7/1127-thickbox_default.jpg";
"18";"3";"1";"Guantes de Entrenamiento";"35";"8394.957983";"53";"0.000000";"0";"GM";"0";"Si eres de los que les gusta m&aacute;s el gimnasio y el acondicionamiento f&iacute;sico en general y quieres cuidar tus manos de las rompeduras que provocan ciertos implementos, estos Guantes Promachine, te proporcionar&aacute;n el cuidado necesario que necesitas para tus manos al momento de entrenar d&aacute;ndote m&aacute;s firmeza y agarre del mismo implemento sin da&ntilde;ar tus manos.";" Material: Poliuretano. Mu&ntilde;equeras con velcro. Malla anti transpiraci&oacute;n.
";"";"";"";"guantes-de-cuero";"";"";"1";"2014-03-10 22:38:38";"1";"0";"new";"http://pesaschile.cl/2/img/p/1/1/2/8/1128-thickbox_default.jpg";
"26";"1";"1";"Pesos Tobillos muñecas 2kg  (2 unidades)";"2";"4193.277311";"53";"0.000000";"0";"PM1.5";"0";"";"";"";"";"";"pesos-tobillos-munecas-2kg-2-unidades";"";"";"1";"2014-03-13 00:12:32";"1";"0";"new";"http://pesaschile.cl/2/img/p/6/9/4/694-thickbox_default.jpg";
"26";"3";"1";"Pesos Tobillos muñecas 1.5kg  (2 unidades)";"2";"4193.277311";"53";"0.000000";"0";"PM1.5";"0";"Peso tobillo Promachine mu&ntilde;eca de 1,5kg cada uno.";"Los entrenamientos con Tobilleras o Mu&ntilde;equeras lastradas &nbsp;son utilizados en varios deportes, como suplemento al plan de entrenamiento, y en rehabilitaci&oacute;n ya que&nbsp;&nbsp;son un peso muerto que sostenemos&nbsp;en nuestras extremidades &nbsp;y que nos posibilita realizar diferentes tipos de rutinas y movimientos.
Caracter&iacute;sticas


Peso de 1.5 kilos por Tobillera / mu&ntilde;equera ( 3 kg. el par)
Fabricada en nylon resistente con costuras reforzadas
Fijaci&oacute;n mediante tiras ajustables de velcro que permiten una sujeci&oacute;n fiable y segura
Costuras de separaci&oacute;n del lastrado para mantener equilibrio&nbsp;en la distribuci&oacute;n del peso
Lastrada en plomo
Disponible en un solo color (azul /negro)

Incluye

2&nbsp;Tobillera / mu&ntilde;equera de 1.5 kilos ( 3 kg. el par)

";"";"";"";"pesos-tobillos-munecas-2kg-2-unidades";"";"";"1";"2014-03-13 00:12:32";"1";"0";"new";"http://pesaschile.cl/2/img/p/6/9/4/694-thickbox_default.jpg";
"32";"1";"1";"Balon medicinal con bote 5kg";"2";"168058.823529";"53";"0.000000";"0";"MRCJ";"0";"";"";"";"";"";"balon-medicinal-con-bote-5kg";"";"";"1";"2014-03-23 08:09:28";"1";"0";"new";"http://pesaschile.cl/2/img/p/1/5/1/4/1514-thickbox_default.jpg";
"32";"3";"1";"Remo Contrapeso JR";"2";"168058.823529";"53";"0.000000";"0";"MRCJ";"0";"Maquina ideal para ejercitar m&uacute;sculos localizados de la espalda. Uso en casa o gimnasios de bajo tr&aacute;fico.
NO INCLUYE DISCOS, IMAGEN REFERENCIAL.";"Peso m&aacute;quina:&nbsp;34 kg
Peso m&aacute;ximo de carga: 100 kg.
Peso m&aacute;ximo de usuario: 120 kg.
Dimensiones: 100 x&nbsp;82 x 145 cms.
Perfiles:&nbsp;50 x 50 x&nbsp;1,5 mm.
Multitomada unilateral.
Utiliza discos Ol&iacute;mpicos y Preol&iacute;mpicos.
NO INCLUYE DISCOS, IMAGEN REFERENCIAL.";"";"";"";"balon-medicinal-con-bote-5kg";"";"";"1";"2014-03-23 08:09:28";"1";"0";"new";"http://pesaschile.cl/2/img/p/1/5/1/4/1514-thickbox_default.jpg";
"33";"1";"1";"Chaleco de lastre 10kg";"2";"22680.672269";"53";"0.000000";"0";"CL10";"0";"";"";"";"";"";"chaleco-de-lastre-10kg";"";"";"1";"2014-03-23 08:15:16";"1";"0";"new";"http://pesaschile.cl/2/img/p/9/0/90-thickbox_default.jpg";
"33";"3";"1";"Chaleco de lastre 10kg";"2";"22680.672269";"53";"0.000000";"0";"CL10";"0";"Chaleco lastrado con 10kg. No regulable.";"
Excelente Calidad (Fabricaci&oacute;n chilena)
Carga Distribuida de forma homog&eacute;nea para mayor comodidad.
Ajustable a cualquier tipo de cuerpo.
";"";"";"";"chaleco-de-lastre-10kg";"";"";"1";"2014-03-23 08:15:16";"1";"0";"new";"http://pesaschile.cl/2/img/p/9/0/90-thickbox_default.jpg";
