ID;Active (0/1);Name;Default Category;Price tax excl.;Tax rules ID;On sale (0/1);Reference #;Show price;url_image;
"18";"1";"Guantes de Entrenamiento";"35";"8394.957983";"53";"0";"GM";"1";"https://pesaschile.cl/2/img/p/1/1/2/7/1127-thickbox_default.jpg";
"18";"1";"Guantes de Entrenamiento";"35";"8394.957983";"53";"0";"GM";"1";"https://pesaschile.cl/2/img/p/1/1/2/8/1128-thickbox_default.jpg";
"26";"1";"Pesos Tobillos muñecas 1.5kg  (2 unidades)";"2";"4193.277311";"53";"0";"PM1.5";"1";"https://pesaschile.cl/2/img/p/6/9/4/694-thickbox_default.jpg";
"32";"1";"Remo Contrapeso JR";"2";"168058.823529";"53";"0";"MRCJ";"1";"https://pesaschile.cl/2/img/p/1/5/1/4/1514-thickbox_default.jpg";
"33";"1";"Chaleco de lastre 10kg";"2";"22680.672269";"53";"0";"CL10";"1";"https://pesaschile.cl/2/img/p/9/0/90-thickbox_default.jpg";
"34";"1";"Chaleco de lastre 15kg";"2";"26882.352941";"53";"0";"CL15";"1";"https://pesaschile.cl/2/img/p/9/1/91-thickbox_default.jpg";
"35";"1";"Chaleco de lastre 20kg";"2";"31084.033613";"53";"0";"CL20";"1";"https://pesaschile.cl/2/img/p/9/2/92-thickbox_default.jpg";
"38";"1";"Pesos Tobillo muñeca 2 kg (2 unidades)";"2";"5873.949580";"53";"0";"PM2";"1";"https://pesaschile.cl/2/img/p/6/9/7/697-thickbox_default.jpg";
"38";"1";"Pesos Tobillo muñeca 2 kg (2 unidades)";"2";"5873.949580";"53";"0";"PM2";"1";"https://pesaschile.cl/2/img/p/6/9/8/698-thickbox_default.jpg";
"43";"1";"Punching Bag Grande";"2";"25201.680672";"53";"0";"DCPG";"1";"https://pesaschile.cl/2/img/p/1/2/3/9/1239-thickbox_default.jpg";
"48";"1";"Cuerda de salto con rodamientos";"2";"2512.605042";"53";"0";"CSP";"1";"https://pesaschile.cl/2/img/p/1/4/3/7/1437-thickbox_default.jpg";
"48";"1";"Cuerda de salto con rodamientos";"2";"2512.605042";"53";"0";"CSP";"1";"https://pesaschile.cl/2/img/p/1/4/3/8/1438-thickbox_default.jpg";
"48";"1";"Cuerda de salto con rodamientos";"2";"2512.605042";"53";"0";"CSP";"1";"https://pesaschile.cl/2/img/p/1/4/3/9/1439-thickbox_default.jpg";
"51";"1";"Escalera Agilidad";"2";"16798.319328";"53";"0";"FIEC";"1";"https://pesaschile.cl/2/img/p/1/1/1/111-thickbox_default.jpg";
"54";"1";"Hand Grip Mango Esponja x2 UN";"2";"2092.436975";"53";"0";"HG5";"1";"https://pesaschile.cl/2/img/p/7/6/0/760-thickbox_default.jpg";
"54";"1";"Hand Grip Mango Esponja x2 UN";"2";"2092.436975";"53";"0";"HG5";"1";"https://pesaschile.cl/2/img/p/7/6/1/761-thickbox_default.jpg";
"54";"1";"Hand Grip Mango Esponja x2 UN";"2";"2092.436975";"53";"0";"HG5";"1";"https://pesaschile.cl/2/img/p/1/2/6/8/1268-thickbox_default.jpg";
"54";"1";"Hand Grip Mango Esponja x2 UN";"2";"2092.436975";"53";"0";"HG5";"1";"https://pesaschile.cl/2/img/p/1/2/6/9/1269-thickbox_default.jpg";
"57";"1";"Iron Gym Xtreme Generic";"2";"13436.974790";"53";"0";"BP200";"1";"https://pesaschile.cl/2/img/p/1/2/2/122-thickbox_default.jpg";
"57";"1";"Iron Gym Xtreme Generic";"2";"13436.974790";"53";"0";"BP200";"1";"https://pesaschile.cl/2/img/p/1/2/3/123-thickbox_default.jpg";
"57";"1";"Iron Gym Xtreme Generic";"2";"13436.974790";"53";"0";"BP200";"1";"https://pesaschile.cl/2/img/p/1/2/4/124-thickbox_default.jpg";
"57";"1";"Iron Gym Xtreme Generic";"2";"13436.974790";"53";"0";"BP200";"1";"https://pesaschile.cl/2/img/p/6/7/6/676-thickbox_default.jpg";
"57";"1";"Iron Gym Xtreme Generic";"2";"13436.974790";"53";"0";"BP200";"1";"https://pesaschile.cl/2/img/p/6/7/7/677-thickbox_default.jpg";
"60";"1";"Push Up Promachine";"2";"5873.949580";"53";"0";"PUP";"1";"https://pesaschile.cl/2/img/p/1/4/0/3/1403-thickbox_default.jpg";
"60";"1";"Push Up Promachine";"2";"5873.949580";"53";"0";"PUP";"1";"https://pesaschile.cl/2/img/p/1/4/0/4/1404-thickbox_default.jpg";
"61";"1";"Push Up metalico";"2";"8394.957983";"53";"0";"PUM";"1";"https://pesaschile.cl/2/img/p/1/4/1/4/1414-thickbox_default.jpg";
"63";"1";"Anillas olimpicas";"2";"16798.319328";"53";"0";"BSA1";"1";"https://pesaschile.cl/2/img/p/1/3/1/131-thickbox_default.jpg";
"63";"1";"Anillas olimpicas";"2";"16798.319328";"53";"0";"BSA1";"1";"https://pesaschile.cl/2/img/p/7/2/9/729-thickbox_default.jpg";
"63";"1";"Anillas olimpicas";"2";"16798.319328";"53";"0";"BSA1";"1";"https://pesaschile.cl/2/img/p/7/3/0/730-thickbox_default.jpg";
"65";"1";"TRX Alterntiva";"2";"25201.680672";"53";"0";"BSA";"1";"https://pesaschile.cl/2/img/p/7/4/4/744-thickbox_default.jpg";
"65";"1";"TRX Alterntiva";"2";"25201.680672";"53";"0";"BSA";"1";"https://pesaschile.cl/2/img/p/7/4/5/745-thickbox_default.jpg";
"65";"1";"TRX Alterntiva";"2";"25201.680672";"53";"0";"BSA";"1";"https://pesaschile.cl/2/img/p/7/4/6/746-thickbox_default.jpg";
"65";"1";"TRX Alterntiva";"2";"25201.680672";"53";"0";"BSA";"1";"https://pesaschile.cl/2/img/p/7/4/7/747-thickbox_default.jpg";
"65";"1";"TRX Alterntiva";"2";"25201.680672";"53";"0";"BSA";"1";"https://pesaschile.cl/2/img/p/1/1/1/4/1114-thickbox_default.jpg";
"65";"1";"TRX Alterntiva";"2";"25201.680672";"53";"0";"BSA";"1";"https://pesaschile.cl/2/img/p/1/1/1/5/1115-thickbox_default.jpg";
