id;Nombre;Descripción;Posición;Mostrado
32;Peso libre;;1;1
55;Maquinas Alto Trafico OBELIX;;2;1
46;Pack y Promociones;;3;1
34;Maquinas y equipamiento;;4;1
33;Funcional y crossfit;;5;1
35;Fitness;;6;1
12;Deportes de contacto;;7;1
48;Calistenia y S.W.;;8;1
60;HWM Fitness;;9;1
61;HWM PACK;;10;1
108;Pack Discos Olimpicos;;11;1
109;Venta Bodega;;12;0
114;PesasDay!;;13;0
121;Venta Navideña;;14;0
127;Venta Relampago;;15;0
130;Equipatón ;;16;0
139;Pesas Day;;17;0
148;Accesorios deportivos;;18;1
151;CyberMonday ;;19;0
157;Black friday;;20;0
158;Navidad;;21;0
