"Product ID";"Imagen";"Nombre";"Referencia";"CategorÃ­a";"Precio (imp. incl.)";"Cantidad";"Estado";"Iva"
"734";"https://pesaschile.cl/clon/2/img/p/1/7/9/1/1791.jpg";"PACK PRESS BANCO PREOLIMPICO BÃSICO";"PBPB";"Pack";"99990";"10";"0";"1"
"733";"https://pesaschile.cl/clon/2/img/p/1/7/8/6/1786.jpg";"Barra Fat Bar HWM";"BOF";"Barras";"49990";"10";"0";"1"
"732";"https://pesaschile.cl/clon/2/img/p/1/7/8/1/1781.jpg";"Kettlebell Vinilo Red 16kg";"KVR16";"Kettlebells";"20790";"10";"0";"1"
"731";"https://pesaschile.cl/clon/2/img/p/1/7/8/0/1780.jpg";"Kettlebell Vinilo Red 12kg";"KVR12";"Kettlebells";"15590";"9";"0";"1"
"730";"https://pesaschile.cl/clon/2/img/p/1/7/8/2/1782.jpg";"Kettlebell Vinilo Red 20kg";"KVR20";"Kettlebells";"25990";"9";"0";"1"
"729";"https://pesaschile.cl/clon/2/img/p/1/7/7/9/1779.jpg";"Kettlebell Vinilo Red 6kg";"KVR06";"Kettlebells";"7790";"9";"0";"1"
"728";"https://pesaschile.cl/clon/2/img/p/1/7/8/3/1783.jpg";"Kettlebell Vinilo Red 8kg";"KVR08";"Kettlebells";"10390";"8";"0";"1"
"727";"https://pesaschile.cl/clon/2/img/p/1/7/7/8/1778.jpg";"Kettlebell Vinilo Red 4kg";"KVR04";"Kettlebells";"5190";"10";"0";"1"
"726";"https://pesaschile.cl/clon/2/img/p/1/7/7/6/1776.jpg";"Pack Press Banco con Barra y Discos GRIP";"PPBDG";"Pack";"399990";"10";"0";"1"
"725";"https://pesaschile.cl/clon/2/img/p/1/7/7/5/1775.jpg";"Power Pro Pack Grip";"PPPEG";"Pack";"439990";"10";"0";"1"
"724";"https://pesaschile.cl/clon/2/img/p/1/7/7/3/1773.jpg";"Pack OlÃ­mpico Engomado Grip con Barra";"PEBG";"Pack";"199990";"10";"0";"1"
"723";"https://pesaschile.cl/clon/2/img/p/1/7/6/7/1767.jpg";"Par Discos OlÃ­mpicos Grip 20kg";"DOG20";"Discos";"63980";"10";"0";"1"
"722";"https://pesaschile.cl/clon/2/img/p/1/7/6/4/1764.jpg";"Par Discos OlÃ­mpicos Grip 15kg";"DOG15";"Discos";"47980";"10";"0";"1"
"721";"https://pesaschile.cl/clon/2/img/p/1/7/6/1/1761.jpg";"Par Discos OlÃ­mpicos Grip 10kg";"DOG10";"Discos";"31980";"10";"0";"1"
"720";"https://pesaschile.cl/clon/2/img/p/1/7/5/8/1758.jpg";"Par Discos OlÃ­mpicos Grip 5kg";"DOG05";"Discos";"15980";"20";"0";"1"
"719";"https://pesaschile.cl/clon/2/img/p/1/7/5/5/1755.jpg";"Par Discos OlÃ­mpicos Grip 2,5kg";"DOG025";"Discos";"7980";"20";"0";"1"
"718";"https://pesaschile.cl/clon/2/img/p/1/7/5/1/1751.jpg";"Par Discos OlÃ­mpicos Grip 1,25kg";"DOG0125";"Discos";"3990";"20";"0";"1"
"717";"https://pesaschile.cl/clon/2/img/p/1/7/3/1/1731.jpg";"Set 3 Cajones PliomÃ©tricos ";"CP3";"Accesorios";"139990";"24";"0";"1"
