"Product ID";"Precio (imp. incl.)";"Cantidad"
"734";"99990";"10"
"733";"49990";"10"
"732";"20790";"10"
"731";"15590";"9"
"730";"25990";"9"
"729";"7790";"9"
"728";"10390";"8"
"727";"5190";"10"
"726";"399990";"10"
"725";"439990";"10"
"724";"199990";"10"
"723";"63980";"10"
"722";"47980";"10"
"721";"31980";"10"
"720";"15980";"20"
"719";"7980";"20"
"718";"3990";"20"
"717";"139990";"24"
"716";"349990";"2"
"715";"599990";"3"
"710";"299990";"2"
"708";"899990";"1"
"707";"699990";"10"
"706";"699990";"6"
"705";"399990";"19"
"704";"549990";"14"
"703";"1999990";"0"
"699";"1800000";"6"
"697";"1300000";"4"
"630";"19990";"1"
"629";"1499990";"3"
"628";"239990";"5"
"627";"1299990";"0"
"626";"899990";"3"
"624";"899990";"3"
"623";"179990";"1"
"622";"399990";"3"
"621";"349990";"2"
"620";"399990";"4"
"619";"199990";"2"
"618";"899990";"0"
"617";"899990";"3"
"616";"899990";"2"
"615";"899990";"2"
"614";"899990";"2"
"613";"169990";"74"
"612";"1990";"43"
"609";"444990";"9"
"604";"599990";"10"
"602";"1299990";"5"
"601";"199990";"2"
"600";"199990";"1"
"599";"69990";"0"
"598";"26990";"0"
"597";"1199990";"0"
"596";"1699990";"1"
"595";"1999990";"0"
"594";"1799990";"2"
"593";"399990";"2"
"592";"399990";"0"
"591";"399990";"0"
"590";"199990";"5"
"589";"499990";"3"
"588";"499990";"4"
"587";"399990";"2"
"586";"399990";"3"
"585";"399990";"4"
"584";"399990";"5"
"583";"1399990";"2"
"582";"1399990";"3"
"581";"1399990";"2"
"580";"1299990";"1"
"579";"1399990";"1"
"578";"1499990";"0"
"577";"1299990";"1"
"576";"1399990";"1"
"575";"1299990";"0"
"574";"1399990";"4"
"573";"1399990";"2"
"572";"29990";"40"
"571";"199990";"20"
"570";"149990";"15"
"569";"79990";"27"
"568";"99990";"95"
"567";"69990";"8"
"566";"49990";"9"
"565";"139990";"28"
"564";"39990";"39"
"563";"99990";"0"
"562";"249990";"8"
"561";"169990";"5"
"560";"68000";"5"
"559";"51000";"5"
"558";"34000";"5"
"557";"17000";"5"
"556";"8500";"5"
"555";"4250";"5"
"554";"24990";"10"
"553";"16990";"4"
"552";"789990";"8"
"551";"499990";"8"
"550";"199990";"19"
"549";"1699990";"0"
"546";"9990";"188"
"545";"9990";"13"
"544";"6990";"15"
"543";"8990";"18"
"542";"9990";"37"
"541";"9990";"35"
"540";"9990";"31"
"539";"11960";"0"
"538";"159990";"15"
"537";"24990";"29"
"536";"119990";"9"
"535";"99990";"50"
"534";"12990";"19"
"533";"12990";"9"
"532";"12990";"0"
"531";"12990";"0"
"530";"7800";"10"
"529";"500";"49"
"528";"1990";"5"
"527";"2990";"93"
"526";"299990";"7"
"525";"79990";"0"
"524";"0";"0"
"523";"499990";"9"
"520";"129990";"10"
"519";"34990";"0"
"518";"139990";"27"
"517";"74990";"69"
"516";"4990";"0"
"515";"159990";"0"
"514";"899990";"3"
"513";"499990";"3"
"512";"1199990";"5"
"511";"999990";"3"
"510";"329990";"4"
"509";"239990";"3"
"508";"219990";"7"
"507";"329990";"9"
"506";"120340";"0"
"505";"95700";"20"
"504";"41360";"17"
"503";"68200";"22"
"490";"28380";"16"
"488";"19990";"40"
"487";"19990";"0"
"486";"69990";"5"
"485";"49990";"6"
"484";"34990";"2"
"483";"24990";"1"
"481";"0";"0"
"480";"239990";"10"
"479";"899990";"2"
"478";"799990";"3"
"477";"799990";"0"
"476";"899990";"0"
"475";"1399990";"0"
"474";"1299990";"1"
"473";"1399990";"0"
"472";"1399990";"3"
"471";"1399990";"3"
"470";"1399990";"0"
"469";"360000";"6"
"468";"360000";"6"
"467";"270000";"6"
"466";"360000";"6"
"465";"360000";"6"
"464";"360000";"6"
"463";"270000";"6"
"462";"360000";"6"
"461";"288000";"6"
"460";"288000";"10"
"459";"288000";"6"
"458";"1199800";"0"
"457";"1199990";"4"
"456";"19990";"5"
"455";"16990";"20"
"454";"12990";"0"
"453";"9990";"1"
"452";"79990";"0"
"451";"1199990";"10"
"450";"64990";"31"
"449";"9990";"813"
"448";"7990";"283"
"447";"14990";"289"
"446";"119990";"20"
"445";"59990";"0"
"444";"65990";"15"
"439";"65990";"4"
"438";"9990";"46"
"437";"843000";"0"
"436";"549990";"36"
"435";"999990";"2"
"434";"19990";"246"
"433";"35000";"0"
"432";"2990";"38"
"431";"279990";"7"
"430";"9990";"162"
"428";"789990";"49"
"427";"89990";"82"
"424";"899990";"2"
"422";"899990";"3"
"421";"899990";"5"
"420";"899990";"0"
"419";"899990";"4"
"418";"79980";"25"
"417";"3990";"69"
"414";"63980";"19"
"413";"47980";"19"
"412";"31980";"50"
"411";"15980";"40"
"410";"7980";"50"
"408";"9990";"153"
"403";"10";"0"
"402";"149990";"8"
"401";"249990";"10"
"400";"299990";"4"
"399";"299990";"3"
"398";"349990";"1"
"397";"24990";"45"
"395";"149990";"40"
"393";"59990";"0"
"391";"13000";"4"
"390";"52000";"9"
"389";"26000";"10"
"388";"6500";"68"
"387";"5200";"11"
"386";"39000";"13"
"385";"99990";"8"
"383";"179990";"0"
"382";"279990";"6"
"381";"470000";"8"
"380";"360000";"2"
"379";"499990";"8"
"378";"899990";"1"
"375";"159980";"0"
"374";"59990";"22"
"373";"89990";"3"
"372";"69990";"2"
"371";"599990";"0"
"370";"7999990";"5"
"369";"799990";"3"
"368";"1800000";"0"
"367";"1499990";"0"
"366";"399990";"4"
"365";"999990";"0"
"364";"49990";"76"
"363";"49990";"75"
"362";"899990";"2"
"360";"399990";"2"
"359";"349990";"4"
"358";"1199990";"5"
"357";"899990";"3"
"354";"29990";"0"
"353";"30990";"16"
"352";"29990";"13"
"351";"1990";"44"
"350";"899990";"2"
"349";"69990";"6"
"348";"15990";"68"
"347";"29990";"9"
"346";"26990";"9"
"345";"119990";"0"
"344";"179990";"28"
"343";"399990";"9"
"342";"249990";"14"
"341";"9990";"28"
"340";"349990";"0"
"339";"229990";"0"
"338";"199990";"11"
"337";"399990";"19"
"335";"199990";"22"
"334";"18500";"0"
"333";"27990";"0"
"332";"20990";"26"
"330";"13990";"21"
"329";"6990";"18"
"328";"139980";"10"
"327";"45000";"8"
"326";"19990";"48"
"325";"14990";"44"
"324";"9990";"40"
"323";"7990";"41"
"322";"14990";"0"
"321";"120000";"10"
"320";"34990";"20"
"319";"31990";"14"
"318";"29990";"15"
"317";"33990";"11"
"316";"129990";"9"
"314";"649990";"3"
"313";"179990";"24"
"312";"5990";"288"
"311";"29990";"18"
"310";"499990";"7"
"309";"129990";"4"
"308";"159990";"1"
"307";"739990";"0"
"306";"242990";"0"
"305";"249990";"0"
"304";"299990";"15"
"303";"65990";"0"
"302";"79990";"16"
"301";"69980";"36"
"300";"49980";"36"
"299";"29980";"26"
"298";"9980";"48"
"297";"529990";"5"
"296";"249990";"0"
"295";"9990";"28"
"294";"3990";"88"
"293";"139990";"89"
"292";"19990";"33"
"291";"19990";"26"
"290";"14990";"17"
"289";"164990";"19"
"288";"89980";"18"
"286";"9990";"191"
"285";"3180";"15"
"284";"789990";"9"
"283";"28990";"37"
"282";"179990";"7"
"276";"449990";"7"
"275";"29990";"82"
"274";"49990";"13"
"273";"49990";"10"
"272";"17990";"10"
"271";"169990";"13"
"270";"279990";"15"
"269";"239990";"14"
"267";"479990";"19"
"266";"1990";"0"
"265";"2990";"0"
"264";"24990";"29"
"263";"39990";"23"
"259";"39990";"36"
"256";"49990";"150"
"254";"7990";"0"
"253";"8990";"0"
"251";"119990";"0"
"250";"189990";"2"
"249";"199990";"6"
"248";"79990";"15"
"247";"499990";"0"
"243";"21000";"0"
"242";"24990";"204"
"241";"359990";"11"
"240";"3990";"38"
"237";"84990";"6"
"236";"2990";"0"
"235";"19990";"14"
"234";"249990";"3"
"233";"24990";"2"
"232";"20000";"13"
"231";"225000";"4"
"229";"219990";"0"
"226";"54990";"4"
"225";"37490";"15"
"221";"2600";"48"
"213";"39990";"5"
"212";"44990";"0"
"211";"51800";"7"
"210";"44400";"7"
"206";"4990";"435"
"205";"14990";"64"
"203";"19990";"14"
"202";"9990";"26"
"200";"47980";"16"
"199";"35980";"12"
"198";"63980";"16"
"197";"109980";"0"
"196";"93980";"11"
"195";"119980";"10"
"194";"99980";"49"
"193";"79980";"12"
"192";"59980";"47"
"191";"39980";"57"
"190";"19980";"48"
"188";"49990";"0"
"187";"69990";"0"
"186";"39990";"0"
"185";"29990";"0"
"184";"24990";"4"
"183";"19990";"7"
"182";"17490";"20"
"181";"14990";"10"
"180";"12490";"6"
"179";"9990";"26"
"178";"7490";"15"
"177";"24990";"10"
"176";"23190";"8"
"175";"20590";"10"
"174";"17990";"10"
"173";"15390";"9"
"172";"12790";"5"
"171";"10190";"7"
"170";"30990";"4"
"168";"9990";"39"
"167";"32990";"37"
"166";"33990";"45"
"164";"30990";"47"
"161";"199990";"7"
"160";"169990";"8"
"159";"119990";"4"
"157";"134990";"6"
"153";"330000";"6"
"152";"399990";"9"
"151";"115000";"7"
"150";"24990";"0"
"149";"16990";"89"
"148";"13990";"2"
"147";"11990";"4"
"146";"7990";"0"
"145";"6990";"2"
"144";"3990";"0"
"142";"8990";"32"
"136";"9990";"559"
"135";"49990";"64"
"134";"4990";"0"
"133";"23990";"6"
"132";"6990";"15"
"130";"4990";"15"
"129";"9990";"194"
"128";"8990";"194"
"127";"7990";"198"
"125";"5200";"0"
"124";"179990";"0"
"119";"89990";"0"
"117";"129990";"0"
"115";"14990";"0"
"114";"5190";"0"
"113";"22200";"0"
"111";"7400";"0"
"110";"37000";"0"
"109";"29600";"0"
"108";"15590";"2"
"106";"8990";"0"
"105";"29990";"7"
"104";"10390";"1"
"103";"23990";"0"
"102";"63980";"34"
"101";"47980";"50"
"100";"31980";"40"
"99";"15980";"36"
"98";"7990";"28"
"97";"3990";"34"
"96";"51980";"24"
"95";"38980";"0"
"94";"25980";"19"
"93";"12980";"17"
"92";"6580";"48"
"91";"9990";"188"
"90";"39990";"0"
"88";"129990";"30"
"87";"44990";"73"
